predicted,actual,correct,plate_x,plate_z,release_speed
4-Seam Fastball,4-Seam Fastball,True,-0.14,0.75,0.91
Slider,Slider,True,0.41,0.15,0.12
Slider,Slider,True,-0.48,0.02,0.16
Slider,Slider,True,-0.38,0.06,0.16
4-Seam Fastball,4-Seam Fastball,True,-0.28,0.43,0.79
Slider,Slider,True,-0.31,-0.4,0.23
Slider,Slider,True,-0.05,0.25,0.04
4-Seam Fastball,4-Seam Fastball,True,0.32,0.46,0.78
Curveball,Curveball,True,-0.45,-0.4,-0.47
4-Seam Fastball,4-Seam Fastball,True,0.41,0.71,0.84
Curveball,Curveball,True,0.12,-0.06,-0.46
Slider,Slider,True,-0.4,-0.58,0.24
4-Seam Fastball,4-Seam Fastball,True,0.13,0.83,0.91
Changeup,Changeup,True,0.54,-0.11,-0.01
Curveball,Curveball,True,-0.11,-0.44,-0.32
Changeup,Changeup,True,0.82,0.22,0.13
4-Seam Fastball,4-Seam Fastball,True,-0.33,0.15,0.79
Slider,Slider,True,-0.13,-0.16,0.17
Changeup,Changeup,True,0.57,-0.13,-0.18
Curveball,Curveball,True,0.3,0.05,-0.55
Slider,Slider,True,-0.3,-0.13,0.08
Slider,Slider,True,-0.22,-0.17,0.13
Changeup,Changeup,True,0.37,-0.13,-0.11
4-Seam Fastball,4-Seam Fastball,True,0.52,0.43,0.78
4-Seam Fastball,4-Seam Fastball,True,0.11,0.6,0.87
Changeup,Changeup,True,0.33,0.04,-0.38
Slider,Slider,True,-0.31,-0.37,0.06
Changeup,Changeup,True,0.09,-0.08,0.12
4-Seam Fastball,4-Seam Fastball,True,0.43,0.77,0.79
Changeup,Changeup,True,0.54,-0.1,-0.05
Slider,Slider,True,-0.08,-0.08,0.14
Changeup,Changeup,True,0.36,-0.0,0.04
Slider,Slider,True,-0.56,0.05,0.21
4-Seam Fastball,4-Seam Fastball,True,0.43,0.34,0.89
Curveball,Curveball,True,0.04,-0.36,-0.58
Changeup,Changeup,True,0.16,-0.07,0.11
4-Seam Fastball,4-Seam Fastball,True,0.21,0.38,0.84
Slider,Slider,True,-0.59,-0.02,0.07
Curveball,Curveball,True,-0.32,-0.26,-0.29
Curveball,Curveball,True,0.14,0.71,-0.48
Curveball,Curveball,True,-0.32,0.1,-0.6
Curveball,Curveball,True,0.01,-0.04,-0.38
Slider,Slider,True,-0.21,-0.16,-0.02
4-Seam Fastball,4-Seam Fastball,True,0.68,0.29,0.69
Curveball,Curveball,True,0.04,-0.28,-0.77
Curveball,Curveball,True,0.31,-0.15,-0.51
Changeup,Changeup,True,0.49,-0.02,0.05
4-Seam Fastball,4-Seam Fastball,True,0.35,0.19,0.81
Slider,Slider,True,-0.57,-0.34,0.2
4-Seam Fastball,4-Seam Fastball,True,0.62,0.72,0.73
Slider,Slider,True,-0.33,-0.13,0.15
Slider,Slider,True,-0.46,-0.6,-0.09
Changeup,Changeup,True,0.09,-0.06,-0.46
4-Seam Fastball,4-Seam Fastball,True,-0.51,0.35,0.84
Curveball,Curveball,True,-0.48,-0.94,-0.26
Slider,Slider,True,-0.05,-0.16,0.29
4-Seam Fastball,4-Seam Fastball,True,0.28,0.9,0.79
4-Seam Fastball,4-Seam Fastball,True,0.62,0.4,0.9
Curveball,Curveball,True,0.22,-0.34,-0.39
Changeup,Changeup,True,0.08,-0.23,-0.08
Slider,Slider,True,0.15,0.11,0.32
Curveball,Curveball,True,-0.23,-0.31,-0.82
Slider,Slider,True,-0.35,0.17,0.18
Slider,Slider,True,-0.23,0.09,0.13
4-Seam Fastball,4-Seam Fastball,True,0.28,0.4,0.96
Slider,Slider,True,-0.03,0.02,0.3
Changeup,Changeup,True,0.22,0.14,0.04
Curveball,Curveball,True,0.14,-0.26,-0.59
Changeup,Changeup,True,0.39,0.26,-0.08
Slider,Slider,True,-0.59,-0.35,0.15
Curveball,Curveball,True,-0.25,-0.02,-0.87
4-Seam Fastball,4-Seam Fastball,True,-0.32,0.32,0.58
Changeup,Changeup,True,0.41,0.04,-0.12
Curveball,Curveball,True,-0.35,0.01,-0.45
Curveball,Curveball,True,-0.02,-0.02,-0.47
Slider,Slider,True,0.02,-0.27,0.12
Changeup,Changeup,True,0.57,-0.04,-0.03
4-Seam Fastball,4-Seam Fastball,True,0.15,0.58,0.96
Slider,Slider,True,-0.26,-0.1,0.21
4-Seam Fastball,4-Seam Fastball,True,0.76,0.35,0.86
Curveball,Curveball,True,0.53,0.62,-0.82
Changeup,Changeup,True,0.23,0.21,-0.06
4-Seam Fastball,4-Seam Fastball,True,-0.39,0.26,0.99
Curveball,Curveball,True,0.12,-0.14,-0.49
Curveball,Curveball,True,0.3,0.02,-0.55
Slider,Slider,True,-0.07,-0.1,0.09
Curveball,Curveball,True,0.56,0.48,-0.39
Slider,Slider,True,0.06,0.32,0.01
4-Seam Fastball,4-Seam Fastball,True,0.03,0.55,0.83
Curveball,Curveball,True,-0.34,-0.61,-0.24
4-Seam Fastball,4-Seam Fastball,True,-0.61,0.0,0.85
Curveball,Curveball,True,0.07,-0.13,-0.49
Curveball,Curveball,True,0.36,0.0,-0.5
